"","Location","Range_Min","Range_Max","Magic","Avg_Relative_Error","Max_Relative_Error","N","Bottom"
"1",1,0.0625,0.546875,1597463164,0.000893490563612431,0.00175121263600886,4,"point0625"
"2",2,0.546875,1.03125,1597966777,7.05037291481858e-06,2.12455652217614e-05,4,"point0625"
"3",3,1.03125,1.515625,1597430447,0.000497020257171243,0.00122379278764129,4,"point0625"
"4",4,1.515625,2,1597178891,9.96458329609595e-05,0.000182916934136301,4,"point0625"
"5",1,0.0625,0.385416666666667,1597463149,0.000844700611196458,0.00175104616209865,6,"point0625"
"6",2,0.385416666666667,0.708333333333333,1597201943,6.83384932926856e-05,0.000124253434478305,6,"point0625"
"7",3,0.708333333333333,1.03125,1597966820,7.12064047547756e-06,2.11850601772312e-05,6,"point0625"
"8",4,1.03125,1.35416666666667,1597503075,0.000311685638735071,0.000879306870047003,6,"point0625"
"9",5,1.35416666666667,1.67708333333333,1597091303,1.67786110978341e-05,2.95005902444245e-05,6,"point0625"
"10",6,1.67708333333333,2,1597184442,6.56482370686717e-05,0.000167828155099414,6,"point0625"
"11",1,0.0625,0.3046875,1597463164,0.000854580604936928,0.00175121205393225,8,"point0625"
"12",2,0.3046875,0.546875,1597245412,1.53679502545856e-05,4.46067097072955e-05,8,"point0625"
"13",3,0.546875,0.7890625,1597216225,8.597979467595e-05,0.000164151730132289,8,"point0625"
"14",4,0.7890625,1.03125,1597966736,7.0643604885845e-06,2.12454924621852e-05,8,"point0625"
"15",5,1.03125,1.2734375,1597567745,0.000211346385185607,0.000618928344920278,8,"point0625"
"16",6,1.2734375,1.515625,1597149854,3.57457392965443e-05,9.24187697819434e-05,8,"point0625"
"17",7,1.515625,1.7578125,1597059457,3.44005661645497e-06,6.31636703474214e-06,8,"point0625"
"18",8,1.7578125,2,1597201155,4.49724757345393e-05,0.000126205457490869,8,"point0625"
"19",1,0.0625,0.223958333333333,1597458828,0.000875111436471343,0.00170860427897424,12,"point0625"
"20",2,0.223958333333333,0.385416666666667,1597477008,0.000675776333082467,0.00161023729015142,12,"point0625"
"21",3,0.385416666666667,0.546875,1597245420,1.52548982441658e-05,4.46756675955839e-05,12,"point0625"
"22",4,0.546875,0.708333333333333,1597143335,8.49835760163842e-06,1.87787190952804e-05,12,"point0625"
"23",5,0.708333333333333,0.869791666666667,1597361748,0.000225901530939154,0.000608302128966898,12,"point0625"
"24",6,0.869791666666667,1.03125,1597966745,7.03767909726594e-06,2.12195918720681e-05,12,"point0625"
"25",7,1.03125,1.19270833333333,1597654560,0.000114282905997243,0.000342170096701011,12,"point0625"
